,Query,Lang&Locale,Image_List,ImgSim_Intra,ImgSim_Cross
10,Engineer,English-North America,"['Faces/Engineer/English_NA\\engr_engna_1.jpg', 'Faces/Engineer/English_NA\\engr_engna_10.jpg', 'Faces/Engineer/English_NA\\engr_engna_11.jpg', 'Faces/Engineer/English_NA\\engr_engna_12.jpg', 'Faces/Engineer/English_NA\\engr_engna_13.jpg', 'Faces/Engineer/English_NA\\engr_engna_14.jpg', 'Faces/Engineer/English_NA\\engr_engna_15.jpg', 'Faces/Engineer/English_NA\\engr_engna_16.jpg', 'Faces/Engineer/English_NA\\engr_engna_17.jpg', 'Faces/Engineer/English_NA\\engr_engna_18.jpg', 'Faces/Engineer/English_NA\\engr_engna_19.jpg', 'Faces/Engineer/English_NA\\engr_engna_2.jpg', 'Faces/Engineer/English_NA\\engr_engna_20.jpg', 'Faces/Engineer/English_NA\\engr_engna_3.jpg', 'Faces/Engineer/English_NA\\engr_engna_4.jpg', 'Faces/Engineer/English_NA\\engr_engna_5.jpg', 'Faces/Engineer/English_NA\\engr_engna_6.jpg', 'Faces/Engineer/English_NA\\engr_engna_7.jpg', 'Faces/Engineer/English_NA\\engr_engna_8.jpg', 'Faces/Engineer/English_NA\\engr_engna_9.jpg']",0.9883441455723522,0.9939044216095778
11,Engineer,English-West Europe,"['Faces/Engineer/English_WE\\engr_engwe_1.jpg', 'Faces/Engineer/English_WE\\engr_engwe_10.jpg', 'Faces/Engineer/English_WE\\engr_engwe_11.jpg', 'Faces/Engineer/English_WE\\engr_engwe_12.jpg', 'Faces/Engineer/English_WE\\engr_engwe_13.jpg', 'Faces/Engineer/English_WE\\engr_engwe_14.jpg', 'Faces/Engineer/English_WE\\engr_engwe_15.jpg', 'Faces/Engineer/English_WE\\engr_engwe_16.jpg', 'Faces/Engineer/English_WE\\engr_engwe_17.jpg', 'Faces/Engineer/English_WE\\engr_engwe_18.jpg', 'Faces/Engineer/English_WE\\engr_engwe_19.jpg', 'Faces/Engineer/English_WE\\engr_engwe_2.jpg', 'Faces/Engineer/English_WE\\engr_engwe_20.jpg', 'Faces/Engineer/English_WE\\engr_engwe_3.jpg', 'Faces/Engineer/English_WE\\engr_engwe_4.jpg', 'Faces/Engineer/English_WE\\engr_engwe_5.jpg', 'Faces/Engineer/English_WE\\engr_engwe_6.jpg', 'Faces/Engineer/English_WE\\engr_engwe_7.jpg', 'Faces/Engineer/English_WE\\engr_engwe_8.jpg', 'Faces/Engineer/English_WE\\engr_engwe_9.jpg']",1.0009108779192166,0.9939044216095778
12,Engineer,Hindi-South Asia,"['Faces/Engineer/Hindi\\engr_hi_1.jpg', 'Faces/Engineer/Hindi\\engr_hi_10.jpg', 'Faces/Engineer/Hindi\\engr_hi_11.jpg', 'Faces/Engineer/Hindi\\engr_hi_12.jpg', 'Faces/Engineer/Hindi\\engr_hi_13.jpg', 'Faces/Engineer/Hindi\\engr_hi_14.jpg', 'Faces/Engineer/Hindi\\engr_hi_15.jpg', 'Faces/Engineer/Hindi\\engr_hi_16.jpg', 'Faces/Engineer/Hindi\\engr_hi_17.jpg', 'Faces/Engineer/Hindi\\engr_hi_18.jpg', 'Faces/Engineer/Hindi\\engr_hi_19.jpg', 'Faces/Engineer/Hindi\\engr_hi_2.jpg', 'Faces/Engineer/Hindi\\engr_hi_20.jpg', 'Faces/Engineer/Hindi\\engr_hi_3.jpg', 'Faces/Engineer/Hindi\\engr_hi_4.jpg', 'Faces/Engineer/Hindi\\engr_hi_5.jpg', 'Faces/Engineer/Hindi\\engr_hi_6.jpg', 'Faces/Engineer/Hindi\\engr_hi_7.jpg', 'Faces/Engineer/Hindi\\engr_hi_8.jpg', 'Faces/Engineer/Hindi\\engr_hi_9.jpg']",1.0031487811837765,0.9939044216095778
13,Engineer,Indonesian-SE Asia,"['Faces/Engineer/Indonesian\\engr_id_1.jpg', 'Faces/Engineer/Indonesian\\engr_id_10.jpg', 'Faces/Engineer/Indonesian\\engr_id_12.jpg', 'Faces/Engineer/Indonesian\\engr_id_13.jpg', 'Faces/Engineer/Indonesian\\engr_id_14.jpg', 'Faces/Engineer/Indonesian\\engr_id_15.jpg', 'Faces/Engineer/Indonesian\\engr_id_16.jpg', 'Faces/Engineer/Indonesian\\engr_id_17.jpg', 'Faces/Engineer/Indonesian\\engr_id_19.jpg', 'Faces/Engineer/Indonesian\\engr_id_2.jpg', 'Faces/Engineer/Indonesian\\engr_id_20.jpg', 'Faces/Engineer/Indonesian\\engr_id_21.jpg', 'Faces/Engineer/Indonesian\\engr_id_22.jpg', 'Faces/Engineer/Indonesian\\engr_id_23.jpg', 'Faces/Engineer/Indonesian\\engr_id_24.jpg', 'Faces/Engineer/Indonesian\\engr_id_3.jpg', 'Faces/Engineer/Indonesian\\engr_id_4.jpg', 'Faces/Engineer/Indonesian\\engr_id_5.jpg', 'Faces/Engineer/Indonesian\\engr_id_7.jpg', 'Faces/Engineer/Indonesian\\engr_id_8.jpg']",0.9871910104411654,0.9939044216095778
14,Engineer,Mandarin-East Asia,"['Faces/Engineer/Mandarin\\engr_mnd_1.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_10.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_11.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_12.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_13.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_14.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_15.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_16.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_17.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_18.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_19.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_2.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_20.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_3.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_4.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_5.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_6.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_7.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_8.jpg', 'Faces/Engineer/Mandarin\\engr_mnd_9.jpg']",0.99114581819855,0.9939044216095778
15,Engineer,Russian-East Europe,"['Faces/Engineer/Russian\\engr_ru_1.jpg', 'Faces/Engineer/Russian\\engr_ru_10.jpg', 'Faces/Engineer/Russian\\engr_ru_11.jpg', 'Faces/Engineer/Russian\\engr_ru_12.jpg', 'Faces/Engineer/Russian\\engr_ru_13.jpg', 'Faces/Engineer/Russian\\engr_ru_14.jpg', 'Faces/Engineer/Russian\\engr_ru_15.jpg', 'Faces/Engineer/Russian\\engr_ru_16.jpg', 'Faces/Engineer/Russian\\engr_ru_17.jpg', 'Faces/Engineer/Russian\\engr_ru_18.jpg', 'Faces/Engineer/Russian\\engr_ru_19.jpg', 'Faces/Engineer/Russian\\engr_ru_2.jpg', 'Faces/Engineer/Russian\\engr_ru_20.jpg', 'Faces/Engineer/Russian\\engr_ru_3.jpg', 'Faces/Engineer/Russian\\engr_ru_4.jpg', 'Faces/Engineer/Russian\\engr_ru_5.jpg', 'Faces/Engineer/Russian\\engr_ru_6.jpg', 'Faces/Engineer/Russian\\engr_ru_7.jpg', 'Faces/Engineer/Russian\\engr_ru_8.jpg', 'Faces/Engineer/Russian\\engr_ru_9.jpg']",1.0071554211136808,0.9939044216095778
16,Engineer,Spanish-Latin America,"['Faces/Engineer/Spanish\\engr_es_1.jpg', 'Faces/Engineer/Spanish\\engr_es_10.jpg', 'Faces/Engineer/Spanish\\engr_es_11.jpg', 'Faces/Engineer/Spanish\\engr_es_12.jpg', 'Faces/Engineer/Spanish\\engr_es_13.jpg', 'Faces/Engineer/Spanish\\engr_es_14.jpg', 'Faces/Engineer/Spanish\\engr_es_15.jpg', 'Faces/Engineer/Spanish\\engr_es_16.jpg', 'Faces/Engineer/Spanish\\engr_es_17.jpg', 'Faces/Engineer/Spanish\\engr_es_18.jpg', 'Faces/Engineer/Spanish\\engr_es_19.jpg', 'Faces/Engineer/Spanish\\engr_es_2.jpg', 'Faces/Engineer/Spanish\\engr_es_20.jpg', 'Faces/Engineer/Spanish\\engr_es_3.jpg', 'Faces/Engineer/Spanish\\engr_es_4.jpg', 'Faces/Engineer/Spanish\\engr_es_5.jpg', 'Faces/Engineer/Spanish\\engr_es_6.jpg', 'Faces/Engineer/Spanish\\engr_es_7.jpg', 'Faces/Engineer/Spanish\\engr_es_8.jpg', 'Faces/Engineer/Spanish\\engr_es_9.jpg']",0.984954864447814,0.9939044216095778
17,Engineer,Swahili-Sub Saharan Africa,"['Faces/Engineer/Swahili\\engr_sw_1.jpg', 'Faces/Engineer/Swahili\\engr_sw_10.jpg', 'Faces/Engineer/Swahili\\engr_sw_11.jpg', 'Faces/Engineer/Swahili\\engr_sw_12.jpg', 'Faces/Engineer/Swahili\\engr_sw_13.jpg', 'Faces/Engineer/Swahili\\engr_sw_14.jpg', 'Faces/Engineer/Swahili\\engr_sw_15.jpg', 'Faces/Engineer/Swahili\\engr_sw_16.jpg', 'Faces/Engineer/Swahili\\engr_sw_17.jpg', 'Faces/Engineer/Swahili\\engr_sw_18.jpg', 'Faces/Engineer/Swahili\\engr_sw_19.jpg', 'Faces/Engineer/Swahili\\engr_sw_2.jpg', 'Faces/Engineer/Swahili\\engr_sw_20.jpg', 'Faces/Engineer/Swahili\\engr_sw_3.jpg', 'Faces/Engineer/Swahili\\engr_sw_4.jpg', 'Faces/Engineer/Swahili\\engr_sw_5.jpg', 'Faces/Engineer/Swahili\\engr_sw_6.jpg', 'Faces/Engineer/Swahili\\engr_sw_7.jpg', 'Faces/Engineer/Swahili\\engr_sw_8.jpg', 'Faces/Engineer/Swahili\\engr_sw_9.jpg']",0.9837269928490154,0.9939044216095778
18,Nurse,Arabic-West Asia & North Africa,"['Faces/Nurse/Arabic\\nur_ar_1.jpg', 'Faces/Nurse/Arabic\\nur_ar_10.jpg', 'Faces/Nurse/Arabic\\nur_ar_11.jpg', 'Faces/Nurse/Arabic\\nur_ar_12.jpg', 'Faces/Nurse/Arabic\\nur_ar_13.jpg', 'Faces/Nurse/Arabic\\nur_ar_14.jpg', 'Faces/Nurse/Arabic\\nur_ar_15.jpg', 'Faces/Nurse/Arabic\\nur_ar_16.jpg', 'Faces/Nurse/Arabic\\nur_ar_17.jpg', 'Faces/Nurse/Arabic\\nur_ar_18.jpg', 'Faces/Nurse/Arabic\\nur_ar_19.jpg', 'Faces/Nurse/Arabic\\nur_ar_2.jpg', 'Faces/Nurse/Arabic\\nur_ar_20.jpg', 'Faces/Nurse/Arabic\\nur_ar_3.jpg', 'Faces/Nurse/Arabic\\nur_ar_4.jpg', 'Faces/Nurse/Arabic\\nur_ar_5.jpg', 'Faces/Nurse/Arabic\\nur_ar_6.jpg', 'Faces/Nurse/Arabic\\nur_ar_7.jpg', 'Faces/Nurse/Arabic\\nur_ar_8.jpg', 'Faces/Nurse/Arabic\\nur_ar_9.jpg']",1.0026067485107648,0.9899515680224868
19,Nurse,English-North America,"['Faces/Nurse/English_NA\\nur_engna_1.jpg', 'Faces/Nurse/English_NA\\nur_engna_10.jpg', 'Faces/Nurse/English_NA\\nur_engna_11.jpg', 'Faces/Nurse/English_NA\\nur_engna_12.jpg', 'Faces/Nurse/English_NA\\nur_engna_13.jpg', 'Faces/Nurse/English_NA\\nur_engna_14.jpg', 'Faces/Nurse/English_NA\\nur_engna_15.jpg', 'Faces/Nurse/English_NA\\nur_engna_16.jpg', 'Faces/Nurse/English_NA\\nur_engna_17.jpg', 'Faces/Nurse/English_NA\\nur_engna_18.jpg', 'Faces/Nurse/English_NA\\nur_engna_19.jpg', 'Faces/Nurse/English_NA\\nur_engna_2.jpg', 'Faces/Nurse/English_NA\\nur_engna_20.jpg', 'Faces/Nurse/English_NA\\nur_engna_3.jpg', 'Faces/Nurse/English_NA\\nur_engna_4.jpg', 'Faces/Nurse/English_NA\\nur_engna_5.jpg', 'Faces/Nurse/English_NA\\nur_engna_6.jpg', 'Faces/Nurse/English_NA\\nur_engna_7.jpg', 'Faces/Nurse/English_NA\\nur_engna_8.jpg', 'Faces/Nurse/English_NA\\nur_engna_9.jpg']",0.9715635993959088,0.9899515680224868
20,Nurse,English-West Europe,"['Faces/Nurse/English_WE\\nur_engwe_1.jpg', 'Faces/Nurse/English_WE\\nur_engwe_10.jpg', 'Faces/Nurse/English_WE\\nur_engwe_11.jpg', 'Faces/Nurse/English_WE\\nur_engwe_12.jpg', 'Faces/Nurse/English_WE\\nur_engwe_13.jpg', 'Faces/Nurse/English_WE\\nur_engwe_14.jpg', 'Faces/Nurse/English_WE\\nur_engwe_15.jpg', 'Faces/Nurse/English_WE\\nur_engwe_16.jpg', 'Faces/Nurse/English_WE\\nur_engwe_17.jpg', 'Faces/Nurse/English_WE\\nur_engwe_18.jpg', 'Faces/Nurse/English_WE\\nur_engwe_19.jpg', 'Faces/Nurse/English_WE\\nur_engwe_2.jpg', 'Faces/Nurse/English_WE\\nur_engwe_20.jpg', 'Faces/Nurse/English_WE\\nur_engwe_3.jpg', 'Faces/Nurse/English_WE\\nur_engwe_4.jpg', 'Faces/Nurse/English_WE\\nur_engwe_5.jpg', 'Faces/Nurse/English_WE\\nur_engwe_6.jpg', 'Faces/Nurse/English_WE\\nur_engwe_7.jpg', 'Faces/Nurse/English_WE\\nur_engwe_8.jpg', 'Faces/Nurse/English_WE\\nur_engwe_9.jpg']",0.9956100012187992,0.9899515680224868
