Dataset,ImgSimScore_Intra
FFHQ,0.9940702592716462
Diverse Dataset,0.9895337412091175
WIKI,0.978635630963246
IMDB,0.9661864378235752
LFW,0.9536360698556309
UTK,0.9418706916076807
